Date,Name,Category,Type,Amount,DayOfWeek,IsWeekend,CategoryEncoded,TypeEncoded,Cluster
2024-02-01,Cơm tấm,Thực phẩm,Phải chi (Must have),78000,3.0,0,8,2,0
2024-02-01,3G,Giải trí,Phát sinh (Nice to have),14000,3.0,0,3,1,1
2024-02-01,Bún bò,Thực phẩm,Phải chi (Must have),35000,3.0,0,8,2,0
2024-02-05,Tiền nhà,Hoá đơn - Thanh toán định kì,Phải chi (Must have),4700000,0.0,0,4,2,0
2024-02-06,Internet ,Hoá đơn - Thanh toán định kì,Phải chi (Must have),240000,1.0,0,4,2,0
2024-02-15,Tín dụng,Hoá đơn - Thanh toán định kì,Phải chi (Must have),4215000,3.0,0,4,2,0
2024-02-19,Chi phí Tết nhà Quốc,Other,Phát sinh (Nice to have),10000000,0.0,0,6,1,1
2024-02-19,Vé máy bay vô Tết,Đi lại,Phát sinh (Nice to have),4260000,0.0,0,10,1,1
2024-02-22,Ăn sáng,Thực phẩm,Phải chi (Must have),56000,3.0,0,8,2,0
2024-02-22,Cà phê,Cà phê,Phát sinh (Nice to have),145000,3.0,0,0,1,1
2024-02-22,Cà phê hạt,Cà phê,Phải chi (Must have),240000,3.0,0,0,2,0
2024-02-22,Lotte mart,Thực phẩm,Phải chi (Must have),436000,3.0,0,8,2,0
2024-02-22,Dây cáp HDML,Mua sắm,Phát sinh (Nice to have),459000,3.0,0,5,1,1
2024-02-22,Chi phí tết nhà Thôi,Other,Phát sinh (Nice to have),13000000,3.0,0,6,1,1
2024-02-23,Chụp hình thẻ ,Other,Phát sinh (Nice to have),46000,4.0,0,6,1,1
2024-02-23,Đi chợ,Thực phẩm,Phải chi (Must have),78000,4.0,0,8,2,0
2024-02-23,Nước,Thực phẩm,Phải chi (Must have),65000,4.0,0,8,2,0
2024-02-24,Đi chợ,Thực phẩm,Phải chi (Must have),140000,5.0,1,8,2,2
2024-02-24,ăn vặt,Thực phẩm,Lãng phí (Wasted),104000,5.0,1,8,0,2
2024-02-25,Lẩu bò,Thực phẩm,Lãng phí (Wasted),213000,6.0,1,8,0,2
2024-02-25,Cà phê,Cà phê,Phát sinh (Nice to have),25000,6.0,1,0,1,2
2024-02-25,Dừa + Chè,Thực phẩm,Phát sinh (Nice to have),34000,6.0,1,8,1,2
2024-02-25,Lotte,Thực phẩm,Phải chi (Must have),200000,6.0,1,8,2,2
2024-02-26,Đi chợ,Thực phẩm,Phải chi (Must have),198000,0.0,0,8,2,0
2024-02-27,Spotify,Giải trí,Phát sinh (Nice to have),59000,1.0,0,3,1,1
2024-02-28,Ăn sáng,Thực phẩm,Phải chi (Must have),48000,2.0,0,8,2,0
2024-02-28,Cà phê Passio,Cà phê,Phát sinh (Nice to have),50000,2.0,0,0,1,1
