Date,Name,Category,Type,Amount
"February 1, 2024",3G,Giải trí,Phát sinh (Nice to have),"14,000"
"February 1, 2024",Bún bò,Thực phẩm,Phải chi (Must have),"35,000"
"February 5, 2024",Tiền nhà,Hoá đơn - Thanh toán định kì,Phải chi (Must have),"4,700,000"
"February 6, 2024",Internet ,Hoá đơn - Thanh toán định kì,Phải chi (Must have),"240,000"
"February 15, 2024",Tín dụng,Hoá đơn - Thanh toán định kì,Phải chi (Must have),"4,215,000"
"February 19, 2024",Chi phí Tết nhà Quốc,Other,Phát sinh (Nice to have),"10,000,000"
"February 19, 2024",Vé máy bay vô Tết,Đi lại,Phát sinh (Nice to have),"4,260,000"
"February 22, 2024",Ăn sáng,Thực phẩm,Phải chi (Must have),"56,000"
"February 22, 2024",Cà phê,Cà phê,Phát sinh (Nice to have),"145,000"
"February 22, 2024",Cà phê hạt,Cà phê,Phải chi (Must have),"240,000"
"February 22, 2024",Lotte mart,Thực phẩm,Phải chi (Must have),"436,000"
"February 22, 2024",Dây cáp HDML,Mua sắm,Phát sinh (Nice to have),"459,000"
"February 22, 2024",Chi phí tết nhà Thôi,Other,Phát sinh (Nice to have),"13,000,000"
"February 23, 2024",Chụp hình thẻ ,Other,Phát sinh (Nice to have),"46,000"
"February 23, 2024",Đi chợ,Thực phẩm,Phải chi (Must have),"78,000"
"February 23, 2024",Nước,Thực phẩm,Phải chi (Must have),"65,000"
"February 24, 2024",Đi chợ,Thực phẩm,Phải chi (Must have),"140,000"
"February 24, 2024",ăn vặt,Thực phẩm,Lãng phí (Wasted),"104,000"
"February 25, 2024",Lẩu bò,Thực phẩm,Lãng phí (Wasted),"213,000"
"February 25, 2024",Cà phê,Cà phê,Phát sinh (Nice to have),"25,000"
"February 25, 2024",Dừa + Chè,Thực phẩm,Phát sinh (Nice to have),"34,000"
"February 25, 2024",Lotte,Thực phẩm,Phải chi (Must have),"200,000"
"February 26, 2024",Đi chợ,Thực phẩm,Phải chi (Must have),"198,000"
"February 27, 2024",Spotify,Giải trí,Phát sinh (Nice to have),"59,000"
"February 28, 2024",Ăn sáng,Thực phẩm,Phải chi (Must have),"48,000"
"February 28, 2024",Cà phê Passio,Cà phê,Phát sinh (Nice to have),"50,000"
"February 28, 2024",Sinh tố sầu riêng bơ,Thực phẩm,Lãng phí (Wasted),"40,000"
